ID,Forename,Surname,Team,Status,skill,Name,Town,Venue,Date,Points
19650,Joanna,Cambridge,Rams,Professional,Catching,Rams,Dunblane,Cornton,2012-12-25,5
19650,Joanna,Cambridge,Rams,Professional,Scoring,Rams,Dunblane,Cornton,2012-12-25,5
19650,Joanna,Cambridge,Rams,Professional,Throwing,Rams,Dunblane,Cornton,2012-12-25,5
17405,Ronald,Coleing,Rams,Professional,Catching,Rams,Dunblane,Cornton,2012-12-25,3
17405,Ronald,Coleing,Rams,Professional,Defending,Rams,Dunblane,Cornton,2012-12-25,3
17405,Ronald,Coleing,Rams,Professional,Jumping,Rams,Dunblane,Cornton,2012-12-25,3
17921,Andy,Sutton,Rams,Amateur,Defending,Rams,Dunblane,Cornton,2012-12-25,7
17921,Andy,Sutton,Rams,Amateur,Jumping,Rams,Dunblane,Cornton,2012-12-25,7
12470,Shirley,Burdett,Rams,Professional,Catching,Rams,Dunblane,Cornton,2012-12-25,3
12470,Shirley,Burdett,Rams,Professional,Running,Rams,Dunblane,Cornton,2012-12-25,3
12470,Shirley,Burdett,Rams,Professional,Scoring,Rams,Dunblane,Cornton,2012-12-25,3
13441,Marcell,Avery,Rams,Amateur,Catching,Rams,Dunblane,Cornton,2012-12-25,3
13441,Marcell,Avery,Rams,Amateur,Running,Rams,Dunblane,Cornton,2012-12-25,3
13382,Kevin,Ryan,Reds,Amateur,Catching,Reds,Tullibody,Cornton,2012-12-25,3
13382,Kevin,Ryan,Reds,Amateur,Running,Reds,Tullibody,Cornton,2012-12-25,3
13382,Kevin,Ryan,Reds,Amateur,Scoring,Reds,Tullibody,Cornton,2012-12-25,3
18621,Jemma,Centraco,Reds,Professional,Jumping,Reds,Tullibody,Cornton,2012-12-25,0
18621,Jemma,Centraco,Reds,Professional,Throwing,Reds,Tullibody,Cornton,2012-12-25,0
12340,Shaun,Bowman,Reds,Professional,Catching,Reds,Tullibody,Cornton,2012-12-25,8
12340,Shaun,Bowman,Reds,Professional,Running,Reds,Tullibody,Cornton,2012-12-25,8
12340,Shaun,Bowman,Reds,Professional,Throwing,Reds,Tullibody,Cornton,2012-12-25,8
16897,Sandy,Licence,Reds,Professional,Jumping,Reds,Tullibody,Cornton,2012-12-25,6
16897,Sandy,Licence,Reds,Professional,Throwing,Reds,Tullibody,Cornton,2012-12-25,6
17061,Rosemary,Weiss,Reds,Professional,Defending,Reds,Tullibody,Cornton,2012-12-25,7
17061,Rosemary,Weiss,Reds,Professional,Running,Reds,Tullibody,Cornton,2012-12-25,7
17061,Rosemary,Weiss,Reds,Professional,Throwing,Reds,Tullibody,Cornton,2012-12-25,7
13131,Sarah,Dasandi,Reds,Professional,Catching,Reds,Tullibody,Cornton,2012-12-25,7
13131,Sarah,Dasandi,Reds,Professional,Defending,Reds,Tullibody,Cornton,2012-12-25,7
13131,Sarah,Dasandi,Reds,Professional,Jumping,Reds,Tullibody,Cornton,2012-12-25,7
15155,Rebecca,Maisuria,Reds,Professional,Running,Reds,Tullibody,Cornton,2012-12-25,6
15155,Rebecca,Maisuria,Reds,Professional,Scoring,Reds,Tullibody,Cornton,2012-12-25,6
15155,Rebecca,Maisuria,Reds,Professional,Throwing,Reds,Tullibody,Cornton,2012-12-25,6
