Alan Stoner,556138,1971-09-11,29500,Win,Win Wimbledon,100,556138
Alan Stoner,556138,1971-09-11,29500,Zoom,Break the speed of light,450,974650
Alex Shuttleworth,1079153,1969-12-18,41000,Win,Win Wimbledon,100,556138
Alex Shuttleworth,1079153,1969-12-18,41000,Gold,Turn lead into gold,500,660535
Andrew Andrews,974650,1971-05-19,40000,Zoom,Break the speed of light,450,974650
Andrew Andrews,974650,1971-05-19,40000,Dinner,Have a nice dinner,12,799872
Andrew Casey,702285,1991-02-27,29500,Zoom,Break the speed of light,450,974650
Andrew Casey,702285,1991-02-27,29500,Win,Win Wimbledon,100,556138
Andy Sutton,660535,1991-08-20,34500,Zoom,Break the speed of light,450,974650
Andy Sutton,660535,1991-08-20,34500,Dinner,Have a nice dinner,12,799872
Anthony Jackson,1001174,1969-03-16,41500,Zoom,Break the speed of light,450,974650
Anthony Jackson,1001174,1969-03-16,41500,Dinner,Have a nice dinner,12,799872
Anthony Lever,885616,1977-06-01,35000,Gold,Turn lead into gold,500,660535
Anthony Lever,885616,1977-06-01,35000,Zoom,Break the speed of light,450,974650
Antony Fletcher,777838,1970-08-27,35500,Thrust,Build a rocket to the moon,300,968329
Antony Fletcher,777838,1970-08-27,35500,Win,Win Wimbledon,100,556138
Asaf Burdon,707478,1959-05-08,37500,Zoom,Break the speed of light,450,974650
Asaf Burdon,707478,1959-05-08,37500,Win,Win Wimbledon,100,556138
Barry Lowry,879579,1988-04-29,54500,Thrust,Build a rocket to the moon,300,968329
Barry Lowry,879579,1988-04-29,54500,Gold,Turn lead into gold,500,660535
Barry Smith,951167,1993-05-13,50000,Zoom,Break the speed of light,450,974650
Barry Smith,951167,1993-05-13,50000,Win,Win Wimbledon,100,556138
Bob Brooks,1096616,1979-02-24,43500,Zoom,Break the speed of light,450,974650
Bob Brooks,1096616,1979-02-24,43500,Win,Win Wimbledon,100,556138
Brendon Hammond,1041840,1989-12-30,45500,Thrust,Build a rocket to the moon,300,968329
Brendon Hammond,1041840,1989-12-30,45500,Win,Win Wimbledon,100,556138
Brian Vance,799872,1967-12-31,46500,Gold,Turn lead into gold,500,660535
